id,brand,gear,model,price,fuel,mileage,hp,type,geo,model_year
100038,Audi,Automat,A6,99500,Diesel,16 000 - 16 499,170,Kombi,"Göteborg, Östra Göteborg",2011
100039,Volvo,Automat,V60,295000,Diesel,1 500,190,Sedan,,2018
100040,BMW,Automat,520,543400,Diesel,0,190,Kombi,,2019
100041,Volvo,Automat,XC60,309000,Diesel,5 500,190,Sedan,,2016
100042,BMW,Automat,320,194900,Diesel,6 240,199,Sedan,,2013
100043,Volvo,Automat,V60,275000,Diesel,3 400,190,Sedan,,2017
100044,Peugeot,Manuell,407,39900,Diesel,13 435,136,Kombi,,2008
100045,Volvo,Manuell,V50,64000,Diesel,14 000,108,Kombi,,2010
100046,Chevrolet,Manuell,COLORADO,49900,Bensin,20 930,176,Yrkesfordon,,2005
100047,Mercedes-Benz,Automat,C200,345200,Diesel,1,149,Kombi,,2019
100048,BMW,Automat,X3,609700,Diesel,0,190,SUV,,2018
100049,Saab,Manuell,9-3,9800,Bensin,23 999,149,Halvkombi,,2001
100050,Skoda,Manuell,"OCT COM AMB 1,6",32000,Bensin,18 200,102,Kombi,Hallsberg,2005
100051,Chevrolet,Automat,CAMARO,319000,Bensin,5 600,425,Coupé,,2015
100052,Mini,Manuell,COOPER,182000,Bensin,8 135,217,Kombi,,2014
100053,Alfa Romeo,Automat,GIULIA,249900,Diesel,1 998,179,Sedan,,2017
100054,BMW,Manuell,320,195000,Diesel,8 600,183,Kombi,,2014
100055,Fiat,Manuell,TIPO,169900,Bensin,0,119,Kombi,,2018
100056,Volkswagen,Manuell,GOL,139000,Diesel,8 500,110,Kombi,,2016
100057,Volvo,Automat,V70,249000,Diesel,5 800,180,Kombi,,2016
100058,Jaguar,Automat,XK,89000,Bensin,15 300,284,Sedan,,2000
100059,Iveco,Manuell,DAILY 35C17H,395000,Diesel,5 400,170,Yrkesfordon,,2015
100060,Audi,Automat,Q5,365000,Diesel,4 900,312,Coupé,,2015
100061,Audi,Automat,Q2,365000,Diesel,700,149,Coupé,,2018
100062,Alfa Romeo,Automat,STELVIO,580000,Bensin,0,280,SUV,,2019
100063,BMW,Automat,120,371800,Diesel,0,190,Halvkombi,,2019
100064,Volvo,Automat,V70,79000,Diesel,18 995,163,Kombi,,2009
100065,Mercedes-Benz,Automat,E320,3000,Diesel,30 000 - 34 999,197,Kombi,Sorsele,2001
100066,BMW,Automat,520,499900,Diesel,2 590,190,Sedan,,2018
100067,Opel,Automat,Astra,249900,Bensin,1,199,Kombi,,2019
100068,BMW,Automat,325,79999,Bensin,19 000 - 19 499,217,Kombi,Karlstad,2006
100069,Mercedes-Benz,Automat,E350,724900,Diesel,800,258,SUV,,2018
100070,Toyota,Automat,AVENSIS,150000,Bensin,6 000 - 6 499,146,Kombi,Lund,2014
100071,BMW,Automat,520,240000,Diesel,9 500 - 9 999,190,Kombi,Kiruna,2015
100072,Ford,Manuell,MUSTANG,299500,Bensin,7 800,421,Coupé,,2015
100073,Citroën,Manuell,C5,22000,Bensin,17 500 - 17 999,140,Kombi,Mjölby,2005
100074,Ford,Automat,GT,329000,Bensin,2 500 - 2 999,422,Cab,Linköping,2014
100075,Kia,Manuell,RIO,89900,Bensin,4 700,84,Halvkombi,,2012
100076,Subaru,Automat,OUTBACK,299900,Bensin,501,175,Kombi,,2018
100077,BMW,Automat,340,456700,Bensin,1 172,326,Kombi,,2017
100078,Mercedes-Benz,Automat,C220,424900,Diesel,800,194,Kombi,,2019
100079,Opel,Automat,Astra,249900,Bensin,1,199,Kombi,,2019
100080,Volvo,Manuell,V60,107800,Diesel,15 970,114,Kombi,Tidaholm,2012
100081,Saab,Manuell,9-3,139000,Bensin,7 700,205,Cab,,2005
100082,BMW,Manuell,116,211700,Diesel,1 391,115,Halvkombi,,2017
100083,Opel,Manuell,Meriva,71900,Bensin,6 000,140,Kombi,Karlstad,2011
100084,Mercedes-Benz,Automat,SPRINTER,299875,Diesel,8 000,163,Yrkesfordon,Helsingborg,2015
100085,Peugeot,Automat,5008,296210,Bensin,1,130,Kombi,,2017
100086,Peugeot,Manuell,3008,259410,Bensin,1,130,SUV,,2018
100087,Mercedes-Benz,Automat,E350,699900,Diesel,2,258,SUV,,2018
100088,Peugeot,Automat,3008,268110,Bensin,1,130,SUV,,2018
100089,Iveco,Manuell,35C18,55000,Diesel,26 000,176,Yrkesfordon,,2008
100090,Kia,Automat,CEED,214900,Bensin,0,140,Halvkombi,,2019
100091,Volvo,Automat,V70,128900,Diesel,16 312,205,Kombi,,2011
100092,Suzuki,Manuell,SWIFT,149000,Miljöbränsle/Hybrid,665,89,Halvkombi,,2017
